id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
2925210.0,2024-02-12 19:22:46.652000+00:00,-3,-1.0,-1
2925211.0,2024-02-12 19:24:29.135000+00:00,57,-3.0,427
2925212.0,2024-02-12 19:24:41.493000+00:00,-3,-1.0,-1
2925213.0,2024-02-12 19:24:29.135000+00:00,57,-3.0,427
2925214.0,2024-02-12 19:24:56.857000+00:00,-3,-1.0,-1
2925215.0,2024-02-12 19:25:10.176000+00:00,57,-3.0,427
2925216.0,2024-02-12 19:25:10.176000+00:00,57,-3.0,427
2925217.0,2024-02-12 19:39:43.431000+00:00,-3,-1.0,-1
2925218.0,2024-02-12 19:40:15.507000+00:00,13,-3.0,288
2925219.0,2024-02-12 19:40:21.729000+00:00,-3,-1.0,-1
2925220.0,2024-02-12 19:40:15.507000+00:00,13,-3.0,288
2925221.0,2024-02-12 19:40:33.233000+00:00,-3,-1.0,-1
2925222.0,2024-02-12 19:40:43.421000+00:00,13,-3.0,288
2925223.0,2024-02-12 19:40:45.689000+00:00,-3,-1.0,-1
2925224.0,2024-02-12 19:40:43.421000+00:00,13,-3.0,288
2925225.0,2024-02-12 19:40:59.168000+00:00,-3,-1.0,-1
2925226.0,2024-02-12 19:42:17.995000+00:00,-3,-1.0,-1
2925227.0,2024-02-12 19:42:18.189000+00:00,13,-3.0,288
2925228.0,2024-02-12 19:42:18.189000+00:00,13,-3.0,288
2925229.0,2024-02-12 19:42:41.931000+00:00,-3,-1.0,-1
2925230.0,2024-02-13 03:24:50.390000+00:00,-3,-1.0,-1
2925231.0,2024-02-13 03:25:23.976000+00:00,12,2537851751.0,170
2925232.0,2024-02-13 03:25:23.976000+00:00,12,2537851751.0,170
2925233.0,2024-02-13 03:40:58.283000+00:00,-3,-1.0,-1
2925234.0,2024-02-13 03:41:40.303000+00:00,3,-3.0,-3
2925235.0,2024-02-13 03:41:48.786000+00:00,-3,-1.0,-1
2925236.0,2024-02-13 03:41:40.303000+00:00,3,-3.0,-3
2925237.0,2024-02-13 03:41:59.906000+00:00,-3,-1.0,-1
2925238.0,2024-02-13 03:42:10.012000+00:00,3,-3.0,-3
2925239.0,2024-02-13 03:42:11.371000+00:00,-3,-1.0,-1
2925240.0,2024-02-13 03:42:10.012000+00:00,3,-3.0,-3
2925241.0,2024-02-13 03:42:24.408000+00:00,-3,-1.0,-1
2925242.0,2024-02-13 03:50:40.478000+00:00,-3,-1.0,-1
2925243.0,2024-02-13 03:51:23.602000+00:00,20,559300000.0,158
2925244.0,2024-02-13 03:51:23.602000+00:00,20,559300000.0,158
2925245.0,2024-02-13 03:55:10.577000+00:00,-3,-1.0,-1
2925246.0,2024-02-13 03:55:31.382000+00:00,3,-3.0,-3
2925247.0,2024-02-13 03:55:31.382000+00:00,3,-3.0,-3
2925248.0,2024-02-13 03:55:54.423000+00:00,-3,-1.0,-1
2925249.0,2024-02-13 04:03:40.348000+00:00,-3,-1.0,-1
2925250.0,2024-02-13 04:04:11.928000+00:00,55,2176827289.0,38
2925251.0,2024-02-13 04:04:27.339000+00:00,-3,-1.0,-1
2925252.0,2024-02-13 04:04:11.928000+00:00,55,2176827289.0,38
2925253.0,2024-02-13 04:04:41.142000+00:00,-3,-1.0,-1
2925254.0,2024-02-13 04:05:02.726000+00:00,55,2176827289.0,38
2925255.0,2024-02-13 04:05:07.754000+00:00,-3,-1.0,-1
2925256.0,2024-02-13 04:05:02.726000+00:00,55,2176827289.0,38
2925257.0,2024-02-13 04:05:50.098000+00:00,-3,-1.0,-1
2925258.0,2024-02-13 04:05:56.254000+00:00,-3,-1.0,-1
2925259.0,2024-02-13 04:05:50.098000+00:00,-3,-1.0,-1
2925260.0,2024-02-13 04:06:07.770000+00:00,-3,-1.0,-1
2925261.0,2024-02-13 04:06:17.769000+00:00,-3,-1.0,-1
2925262.0,2024-02-13 04:06:17.769000+00:00,-3,-1.0,-1
2925263.0,2024-02-13 04:08:36.805000+00:00,-3,-1.0,-1
2925264.0,2024-02-13 04:09:08.616000+00:00,-3,-1.0,-1
2925265.0,2024-02-13 04:09:14.808000+00:00,-3,-1.0,-1
2925266.0,2024-02-13 04:09:08.616000+00:00,-3,-1.0,-1
2925267.0,2024-02-13 04:09:25.624000+00:00,-3,-1.0,-1
2925268.0,2024-02-13 04:09:38.451000+00:00,-3,-1.0,-1
2925269.0,2024-02-13 04:09:40.335000+00:00,-3,-1.0,-1
2925270.0,2024-02-13 04:09:38.451000+00:00,-3,-1.0,-1
2925271.0,2024-02-13 04:10:32.458000+00:00,-3,-1.0,-1
2925272.0,2024-02-13 04:10:32.739000+00:00,-3,-1.0,-1
2925273.0,2024-02-13 04:10:32.739000+00:00,-3,-1.0,-1
2925274.0,2024-02-13 04:10:44.133000+00:00,-3,-1.0,-1
2925275.0,2024-02-13 04:10:58.153000+00:00,-3,-1.0,-1
2925276.0,2024-02-13 04:11:15.752000+00:00,5,9905106700.0,69
2925277.0,2024-02-13 04:11:15.752000+00:00,5,9905106700.0,69
2925278.0,2024-02-13 04:12:16.089000+00:00,-3,-1.0,-1
2925279.0,2024-02-13 04:12:47.725000+00:00,15,1421662913.0,15
2925280.0,2024-02-13 04:12:57.565000+00:00,-3,-1.0,-1
2925281.0,2024-02-13 04:12:47.725000+00:00,15,1421662913.0,15
2925282.0,2024-02-13 04:13:12.467000+00:00,-3,-1.0,-1
2925283.0,2024-02-13 04:13:25.785000+00:00,15,1421662913.0,15
2925284.0,2024-02-13 04:13:25.785000+00:00,15,1421662913.0,15
2925285.0,2024-02-13 04:16:00.661000+00:00,-3,-1.0,-1
2925286.0,2024-02-13 04:16:32.527000+00:00,-3,-1.0,-1
2925287.0,2024-02-13 04:16:47.122000+00:00,-3,-1.0,-1
2925288.0,2024-02-13 04:16:32.527000+00:00,-3,-1.0,-1
2925289.0,2024-02-13 04:17:24.444000+00:00,-3,-1.0,-1
2925290.0,2024-02-13 04:17:26.002000+00:00,-3,-1.0,-1
2925291.0,2024-02-13 04:17:28.722000+00:00,5,233087600.0,141
2925292.0,2024-02-13 04:17:29.724000+00:00,-3,-1.0,-1
2925293.0,2024-02-13 04:17:28.722000+00:00,5,233087600.0,141
2925294.0,2024-02-13 04:17:40.880000+00:00,-3,-1.0,-1
2925295.0,2024-02-13 04:17:53.246000+00:00,5,233087600.0,141
2925296.0,2024-02-13 04:17:56.735000+00:00,-3,-1.0,-1
2925297.0,2024-02-13 04:17:56.931000+00:00,-3,-1.0,-1
2925298.0,2024-02-13 04:17:57.561000+00:00,16,300000000.0,19
2925299.0,2024-02-13 04:18:01.386000+00:00,-3,-1.0,-1
2925300.0,2024-02-13 04:17:53.246000+00:00,5,233087600.0,141
2925301.0,2024-02-13 04:18:04.989000+00:00,-3,-1.0,-1
2925302.0,2024-02-13 04:18:08.711000+00:00,-3,-1.0,-1
2925303.0,2024-02-13 04:17:56.735000+00:00,-3,-1.0,-1
2925304.0,2024-02-13 04:18:12.196000+00:00,-3,-1.0,-1
2925305.0,2024-02-13 04:17:57.561000+00:00,16,300000000.0,19
2925306.0,2024-02-13 04:18:18.516000+00:00,-3,-1.0,-1
2925307.0,2024-02-13 04:18:23.176000+00:00,-3,-1.0,-1
2925308.0,2024-02-13 04:18:24.316000+00:00,-3,-1.0,-1
2925309.0,2024-02-13 04:18:23.176000+00:00,-3,-1.0,-1
2925310.0,2024-02-13 04:18:36.233000+00:00,-3,-1.0,-1
2925311.0,2024-02-13 04:18:38.398000+00:00,2,-3.0,-3
2925312.0,2024-02-13 04:18:41.623000+00:00,16,300000000.0,19
2925313.0,2024-02-13 04:18:42.069000+00:00,-3,-1.0,-1
2925314.0,2024-02-13 04:18:38.398000+00:00,2,-3.0,-3
2925315.0,2024-02-13 04:18:52.472000+00:00,-3,-1.0,-1
2925316.0,2024-02-13 04:18:41.623000+00:00,16,300000000.0,19
2925317.0,2024-02-13 04:19:00.761000+00:00,-3,-1.0,-1
2925318.0,2024-02-13 04:19:07.049000+00:00,-3,-1.0,-1
2925319.0,2024-02-13 04:19:14.616000+00:00,2,-3.0,-3
2925320.0,2024-02-13 04:19:00.761000+00:00,-3,-1.0,-1
2925321.0,2024-02-13 04:19:17.690000+00:00,-3,-1.0,-1
2925322.0,2024-02-13 04:19:14.616000+00:00,2,-3.0,-3
2925323.0,2024-02-13 04:19:38.945000+00:00,-3,-1.0,-1
2925324.0,2024-02-13 04:19:38.945000+00:00,-3,-1.0,-1
2925325.0,2024-02-13 04:19:51.665000+00:00,-3,-1.0,-1
2925326.0,2024-02-13 04:20:24.691000+00:00,2,-3.0,-3
2925327.0,2024-02-13 04:20:28.238000+00:00,-3,-1.0,-1
2925328.0,2024-02-13 04:20:33.125000+00:00,-3,-1.0,-1
2925329.0,2024-02-13 04:20:24.691000+00:00,2,-3.0,-3
2925330.0,2024-02-13 04:20:39.235000+00:00,-3,-1.0,-1
2925331.0,2024-02-13 04:20:50.741000+00:00,2,-3.0,-3
2925332.0,2024-02-13 04:20:50.741000+00:00,2,-3.0,-3
2925333.0,2024-02-13 04:21:14.833000+00:00,1,-3.0,1730
2925334.0,2024-02-13 04:21:27.925000+00:00,-3,-1.0,-1
2925335.0,2024-02-13 04:21:14.833000+00:00,1,-3.0,1730
2925336.0,2024-02-13 04:21:35.335000+00:00,-3,-1.0,-1
2925337.0,2024-02-13 04:21:46.892000+00:00,-3,-1.0,-1
2925338.0,2024-02-13 04:21:47.118000+00:00,-3,-1.0,-1
2925339.0,2024-02-13 04:21:47.118000+00:00,-3,-1.0,-1
2925340.0,2024-02-13 04:22:06.863000+00:00,2,-3.0,726
2925341.0,2024-02-13 04:22:12.238000+00:00,-3,-1.0,-1
2925342.0,2024-02-13 04:22:14.202000+00:00,-3,-1.0,-1
2925343.0,2024-02-13 04:22:19.610000+00:00,-3,-1.0,-1
2925344.0,2024-02-13 04:22:06.863000+00:00,2,-3.0,726
2925345.0,2024-02-13 04:22:25.909000+00:00,-3,-1.0,-1
2925346.0,2024-02-13 04:22:26.367000+00:00,-3,-1.0,-1
2925347.0,2024-02-13 04:22:19.610000+00:00,-3,-1.0,-1
2925348.0,2024-02-13 04:22:36.953000+00:00,-3,-1.0,-1
2925349.0,2024-02-13 04:22:47.668000+00:00,-3,-1.0,-1
2925350.0,2024-02-13 04:22:47.766000+00:00,2,-3.0,726
2925351.0,2024-02-13 04:22:48.842000+00:00,-3,-1.0,-1
2925352.0,2024-02-13 04:22:47.766000+00:00,2,-3.0,726
2925353.0,2024-02-13 04:22:47.668000+00:00,-3,-1.0,-1
2925354.0,2024-02-13 04:23:00.689000+00:00,-3,-1.0,-1
2925355.0,2024-02-13 04:24:34.247000+00:00,-3,-1.0,-1
2925356.0,2024-02-13 04:24:34.488000+00:00,-3,-1.0,-1
2925357.0,2024-02-13 04:24:34.488000+00:00,-3,-1.0,-1
2925358.0,2024-02-13 04:25:01.912000+00:00,-3,-1.0,-1
2925359.0,2024-02-13 04:27:08.410000+00:00,-3,-1.0,-1
2925360.0,2024-02-13 04:27:50.151000+00:00,7,-3.0,-3
2925361.0,2024-02-13 04:27:57.201000+00:00,-3,-1.0,-1
2925362.0,2024-02-13 04:27:50.151000+00:00,7,-3.0,-3
2925363.0,2024-02-13 04:28:07.926000+00:00,-3,-1.0,-1
2925364.0,2024-02-13 04:28:29.262000+00:00,7,-3.0,-3
2925365.0,2024-02-13 04:28:35.758000+00:00,-3,-1.0,-1
2925366.0,2024-02-13 04:28:29.262000+00:00,7,-3.0,-3
2925367.0,2024-02-13 04:29:00.520000+00:00,-3,-1.0,-1
2925368.0,2024-02-13 04:29:07.843000+00:00,-3,-1.0,-1
2925369.0,2024-02-13 04:29:13.698000+00:00,-3,-1.0,-1
2925370.0,2024-02-13 04:29:07.843000+00:00,-3,-1.0,-1
2925371.0,2024-02-13 04:29:24.720000+00:00,-3,-1.0,-1
2925372.0,2024-02-13 04:29:37.337000+00:00,-3,-1.0,-1
2925373.0,2024-02-13 04:29:43.968000+00:00,-3,-1.0,-1
2925374.0,2024-02-13 04:29:37.337000+00:00,-3,-1.0,-1
2925375.0,2024-02-13 04:29:43.968000+00:00,-3,-1.0,-1
2925376.0,2024-02-13 04:31:07.039000+00:00,-3,-1.0,-1
2925377.0,2024-02-13 04:31:49.036000+00:00,-3,-1.0,-1
2925378.0,2024-02-13 04:31:54.262000+00:00,-3,-1.0,-1
2925379.0,2024-02-13 04:31:49.036000+00:00,-3,-1.0,-1
2925380.0,2024-02-13 04:32:05.836000+00:00,-3,-1.0,-1
2925381.0,2024-02-13 04:32:21.395000+00:00,-3,-1.0,-1
2925382.0,2024-02-13 04:32:27.973000+00:00,-3,-1.0,-1
2925383.0,2024-02-13 04:32:27.973000+00:00,-3,-1.0,-1
2925384.0,2024-02-13 04:32:55.966000+00:00,1,10308484000.0,22
2925385.0,2024-02-13 04:32:55.966000+00:00,1,10308484000.0,22
2925386.0,2024-02-13 04:35:26.297000+00:00,-3,-1.0,-1
2925387.0,2024-02-13 04:35:35.119000+00:00,-3,-1.0,-1
2925388.0,2024-02-13 04:35:57.698000+00:00,7,3225259367.0,173
2925389.0,2024-02-13 04:36:05.736000+00:00,-3,-1.0,-1
2925390.0,2024-02-13 04:36:06.350000+00:00,-3,-1.0,-1
2925391.0,2024-02-13 04:36:10.684000+00:00,-3,-1.0,-1
2925392.0,2024-02-13 04:35:57.698000+00:00,7,3225259367.0,173
2925393.0,2024-02-13 04:36:17.946000+00:00,-3,-1.0,-1
2925394.0,2024-02-13 04:36:06.350000+00:00,-3,-1.0,-1
2925395.0,2024-02-13 04:36:21.441000+00:00,-3,-1.0,-1
2925396.0,2024-02-13 04:36:27.640000+00:00,7,3225259367.0,173
2925397.0,2024-02-13 04:36:33.583000+00:00,-3,-1.0,-1
2925398.0,2024-02-13 04:36:27.640000+00:00,7,3225259367.0,173
2925399.0,2024-02-13 04:36:33.583000+00:00,-3,-1.0,-1
2925400.0,2024-02-13 04:38:19.146000+00:00,-3,-1.0,-1
2925401.0,2024-02-13 04:38:24.517000+00:00,-3,-1.0,-1
2925402.0,2024-02-13 04:38:56.269000+00:00,3,-3.0,993
2925403.0,2024-02-13 04:39:00.502000+00:00,2,28399988003.0,888
2925404.0,2024-02-13 04:39:03.815000+00:00,-3,-1.0,-1
2925405.0,2024-02-13 04:39:06.718000+00:00,-3,-1.0,-1
2925406.0,2024-02-13 04:38:56.269000+00:00,3,-3.0,993
2925407.0,2024-02-13 04:39:16.085000+00:00,-3,-1.0,-1
2925408.0,2024-02-13 04:39:00.502000+00:00,2,28399988003.0,888
2925409.0,2024-02-13 04:39:17.280000+00:00,-3,-1.0,-1
2925410.0,2024-02-13 04:39:19.772000+00:00,-3,-1.0,-1
2925411.0,2024-02-13 04:39:27.271000+00:00,3,-3.0,993
2925412.0,2024-02-13 04:39:30.198000+00:00,-3,-1.0,-1
2925413.0,2024-02-13 04:39:34.629000+00:00,2,28399988003.0,888
2925414.0,2024-02-13 04:39:39.036000+00:00,-3,-1.0,-1
2925415.0,2024-02-13 04:39:27.271000+00:00,3,-3.0,993
2925416.0,2024-02-13 04:39:43.633000+00:00,-3,-1.0,-1
2925417.0,2024-02-13 04:39:34.629000+00:00,2,28399988003.0,888
2925418.0,2024-02-13 04:39:59.240000+00:00,-3,389592220.0,471
2925419.0,2024-02-13 04:40:09.678000+00:00,-3,-1.0,-1
2925420.0,2024-02-13 04:39:59.240000+00:00,-3,389592220.0,471
2925421.0,2024-02-13 04:40:20.570000+00:00,5,8065950137.0,123
2925422.0,2024-02-13 04:40:22.723000+00:00,-3,-1.0,-1
2925423.0,2024-02-13 04:40:37.598000+00:00,-3,389592220.0,471
2925424.0,2024-02-13 04:40:20.570000+00:00,5,8065950137.0,123
2925425.0,2024-02-13 04:40:39.708000+00:00,-3,-1.0,-1
2925426.0,2024-02-13 04:40:37.598000+00:00,-3,389592220.0,471
2925427.0,2024-02-13 04:40:51.745000+00:00,-3,-1.0,-1
2925428.0,2024-02-13 04:41:03.417000+00:00,-3,-1.0,-1
2925429.0,2024-02-13 04:41:34.901000+00:00,6,-3.0,700
2925430.0,2024-02-13 04:41:34.901000+00:00,6,-3.0,700
2925431.0,2024-02-13 04:45:09.620000+00:00,-3,-1.0,-1
2925432.0,2024-02-13 04:45:20.412000+00:00,-3,389592220.0,471
2925433.0,2024-02-13 04:45:20.412000+00:00,-3,389592220.0,471
2925434.0,2024-02-13 04:45:42.782000+00:00,-3,-1.0,-1
2925435.0,2024-02-13 04:46:05.619000+00:00,-3,-1.0,-1
2925436.0,2024-02-13 04:46:14.687000+00:00,4,700000000.0,6
2925437.0,2024-02-13 04:46:21.669000+00:00,-3,-1.0,-1
2925438.0,2024-02-13 04:46:14.687000+00:00,4,700000000.0,6
2925439.0,2024-02-13 04:46:32.578000+00:00,-3,-1.0,-1
